"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","191.026210573079","645.393014494604","338.158001132045","315.830836485093","398.643334644121","482.39685911051","386.394936787212","439.363962775702","342.906011200309","238.070404172099","321.191146079725","234.749684476231","293.398246866479","129.015995233512","-82.9176216799245","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","1.90999392648613","3.78289231413827","1.81190208836431","3.84722115121824","4.74577908845476","5.42808824805307","4.96214296785219","3.91566846054434","2.75854521646184","2.51163416596694","2.48266875111331","3.89386638062579","4.70943840416438","4.65376875418902","3.9933245384921","5.51937168331061","5.56682958261403","6.55688787629823","6.24085510907997","7.94005757162821","2.4985974247113","1.83966620406999","0.73655950607409","1.08151292908802","0.545644872491188","1.40320732611794","0.166973381907726","3.99367362584288","6.36088921644675","12.7770085518606","10.0865377205187","39.6837249422841","14.9065557562658","15.0967619469318","14.2672004295913","12.6713203893845","9.70323422073242","12.7951833551161","8.87017137473611","7.50377394762801","6.90338108835983","19.9871804613086","60.9561681231777","70.8065909794517","98.3257339940468","116.309674102584","117.616156377867","191.861716088667","183.795378755441","229.129757902027","231.443819867294","238.36336538297","224.310363950002","167.930905239143","156.355357264022","130.329790157349","",
"Angola","AGO","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","-0.00948614681064361","4.38769158422123","","0.00539005298062743","","0.192540361923842","0.487757624709051","3.04888734897903","0.00164850726019082","-0.0178059709247919","-0.00476117244823772","0","0.0136619342232515","0.0237029487208926","0.0534392566801598","0.66973073166394","2.39468194294739","6.33221886281348","6.07349433514156","5.91735172230645","6.38581579283849","7.08641495890185","6.70677561458623","8.09319664287893","9.88997469326891","9.28558843632805","12.994203737143","13.0695862376858","14.8915533038518","15.4385106282308","23.8832768535218","24.1523554430359","28.997454715688","23.6298731765216","35.3457406710354","31.9275215665264","34.2135119498499","25.6965216592421","23.6310158580913","26.5402308713823","20.068880067374","18.1670498562886","25.7006711982647","29.5661327288702","66.1773293631291","23.1497427949021","8.81915114915125","12.9103002845041","18.5986962870291","11.6437037377444","11.0820221382195","8.79306340594439","10.7385150213139","12.1774795355311","9.71580917637312","15.1902483792845","",
"Albania","ALB","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.76938430517933","3.20327837263545","3.36219649710851","101.613510510317","126.158016580645","83.8723051281153","50.8490006035786","56.6537757890748","71.5396588356245","53.4355097273719","85.8997676224936","157.032763355891","102.89647840566","87.7499409347119","100.740410552571","114.919121362698","99.4205697571045","104.626053507785","108.282342766881","103.915230114844","123.78728564381","121.973589240582","125.323504361967","130.639841915739","120.389746114727","93.2041543133245","97.1712582084797","115.697708024493","",
"Andorra","AND","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","9.53542916442346","10.2479512173405","9.51317436778588","8.55356327174189","8.05706442870304","6.2776963080763","6.30732237659988","4.04704673341626","4.32828227921281","4.1509880336843","5.84541073567071","5.82686495981492","6.79749882355163","16.4626846721022","28.5046332448414","40.7377778496977","41.0392082477665","46.9179369062353","44.6333545422568","50.4792277245374","56.3351653308403","52.2285443873858","42.7236490011254","35.8550829641232","32.4264787088614","35.1626511689318","32.4620426649103","33.4469558618176","25.4484890191592","23.9229420478181","57.4020104133247","50.5327619545516","35.7159057777573","30.7299978052394","31.3216967415614","23.8337056680121","24.5252038072639","22.2811316686584","23.9493181651466","19.9512501656168","17.9790638632682","18.9962044991817","18.0279313147101","30.233967907469","38.0233520106182","93.4527589451156","54.7123758693726","57.9555704896594","67.4303727787288","41.5034282494196","34.8706086506057","37.8062626757779","40.9737630011953","59.7378879683647","58.0051606615912","51.458911630303","",
"United Arab Emirates","ARE","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","4.42707208569084","5.34732881120959","3.83107626514612","3.11461794019934","4.19620894226595","0.133051264652271","8.07067427379452","9.13954395422078","6.09782420998101","4.23213503915941","22.4691420950245","20.3881378107283","14.4413689677198","1.98525166983175","1.30545992016781","7.6233141652471","1.67188863935594","48.2258396981942","2.04255771736319","7.58112504758423","4.01263192265062","0.301891487391914","4.04841874288398","3.53794009799519","2.59318679224356","2.99903808630269","23.8929417258281","75.4974848435573","-7.41679802516135","-3.46354834395079","1.95422692659725","-4.00378425561497","-4.8191840175452","-4.77944303745119","-3.58757457173608","2.30193958621253","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","1.38609515703299","1.39263542126673","1.86962582398591","1.74823193857878","0.784369957337016","-2.79131688631384","-0.428595180440561","0.945831584155398","1.75054907786001","1.07938696242886","0.389603964649989","1.13721978777205","0.940969497174469","1.81094266268381","1.40068993337949","1.00932309943904","1.15458032817954","1.038745852783","1.03234351289047","1.55249159006853","0.693093180578632","1.52609891909735","1.02572985041831","1.59566852722749","1.62060595288773","1.28402649648895","2.78249105995928","3.17080061965482","4.79941903755923","6.5305876515359","5.15555577282313","8.24488340033355","7.85734153190051","6.64889874536336","4.24733826620284","4.08974837360206","3.71375429870448","2.85567059073703","2.3602725024832","2.31663050922158","1.62909199399106","4.08950420632622","2.32756126818755","2.81157598740259","2.37756016985612","2.40436376184424","2.79154422220116","2.14686535516486","2.97163132158846","2.78612221421787","3.11792906244409","2.28492599893373","4.22280684383578","0.816440636655378","1.13517846638808","-0.536428851027674","",
"Armenia","ARM","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.774506878304468","6.50819525281512","32.4838641612999","58.1377853658863","67.5452419091374","92.1023814963328","52.9918550559463","62.4036687934755","67.6316010627638","70.1830695901106","69.1070301133712","96.8808259515386","82.4655350709059","84.640291977943","57.2553075258788","71.7449863614909","117.766472999551","102.328414277642","177.205280455061","115.6033279613","133.258804629675","90.8425803778549","93.6971959018673","89.053987254146","115.199860026404","",
"American Samoa","ASM","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
