País Origen,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
Ucrania,99060,91004,88594,89351,88966,86316,83313,82265,79096,69983,69893,65667,52748,42098,26278,10318,1646,722,462
Resto de Nacionalidades Europeas,277,260,222,232,236,212,192,187,136,66,83,164,161,193,204,184,227,223,285
ÁFRICA,1048129,1043237,1076164,1103534,1102329,1084793,1059369,1009169,909757,806795,785279,713974,579372,522682,423043,317241,228972,174402,147876
Angola,1634,1718,1828,1944,1989,2068,2183,2251,2244,2114,2340,2513,2234,2257,1976,1694,1368,1094,1040
Argelia,62173,62398,63525,64038,62912,60912,58743,56201,51922,45813,47079,46278,39425,36301,28921,18265,10759,7637,5924
Benin,343,338,360,387,379,379,378,384,352,318,308,308,234,197,155,89,43,33,72
Burkina Faso,1226,1191,1255,1299,1281,1195,1131,1004,809,725,652,533,363,306,231,137,99,76,98
Cabo Verde,2767,2819,2964,3098,3249,3341,3428,3468,3329,2998,2939,3095,2751,2908,2765,2536,2445,2273,2168
Camerún,5788,5800,6106,6250,6360,6117,5919,5524,4788,4029,3850,3433,2675,2351,1895,1415,953,632,526
Congo,1551,1631,1812,2031,2138,2163,2240,2132,1972,1801,1825,1799,1493,1419,1151,907,499,175,136
Costa De Marfil,2918,2910,3039,3173,3192,3051,2969,2556,2028,1636,1528,1299,958,785,565,407,228,152,170
Egipto,3629,3475,3422,3410,3298,3219,3142,2990,2709,2566,2703,2501,2076,2098,1703,1274,1016,911,799
Etiopía,653,686,789,858,915,986,980,828,695,588,508,503,424,407,356,284,195,140,178
Gambia,19232,19545,20669,21665,21984,22299,22168,21534,19350,17393,17425,15838,13320,12705,11034,9235,7923,6655,5462
Ghana,15862,15751,16405,16837,16971,16399,15692,15179,13133,12699,13288,10482,7118,5264,3598,2321,1149,720,636
Guinea,10525,10756,11411,12105,12417,12646,12553,11958,10413,9159,9123,8051,5946,5392,4547,3588,2716,2151,1925
Guinea Ecuatorial,12410,12118,12695,13446,14374,15032,15595,15652,14676,13129,13251,13096,11590,11123,9759,8188,5916,4621,4150
Guinea-Bissau,4659,4715,4892,5304,5398,5565,5875,6212,5911,5229,5076,4490,3374,3048,2684,2179,1229,846,745
Kenia,1103,1098,1086,1094,1072,969,873,739,592,530,538,530,452,488,421,347,274,245,280
Liberia,256,280,320,366,408,455,492,516,554,581,862,1083,995,1334,1385,1290,1056,809,718
Mali,23315,22793,23181,23942,24634,24745,24228,23142,19704,17094,14886,12158,6890,5300,3829,2449,1317,758,615
Marruecos,755459,750883,774383,792158,788563,773995,754080,718055,652695,582923,563012,511294,420556,378979,307458,233415,173158,133002,111043
Mauritania,8741,8939,9694,10691,11510,11690,11803,11468,9916,9271,9652,9611,7443,6782,5168,3598,1815,1101,909
Nigeria,41590,42653,44734,46231,46296,45132,44176,42323,37475,32119,31588,27203,20316,16802,12254,7598,3320,1230,941
República Democrática del Congo,1005,1087,1162,1249,1294,1302,1255,1186,1105,1008,1035,983,859,965,969,913,835,695,652
Senegal,62716,61798,62705,64165,63963,63601,61970,56590,46620,36955,35079,29608,21465,18687,14459,10627,7256,5831,4880
Sierra Leona,717,741,818,888,905,920,962,991,981,989,1335,1664,1640,1791,1478,1000,565,303,259
Sudáfrica,1056,1019,1028,1022,969,903,875,862,803,704,788,810,704,724,607,480,429,354,356
Togo,427,422,442,463,462,453,446,423,371,348,360,335,237,228,164,115,81,55,89
Túnez,1942,1898,1978,2057,2061,1997,1977,1879,1741,1544,1642,1566,1316,1299,1080,814,666,550,528
Resto de Africa,4432,3775,3461,3363,3335,3259,3236,3122,2869,2532,2607,2910,2518,2742,2431,2076,1662,1353,2577
AMÉRICA,1064608,1103476,1263030,1452783,1573055,1688658,1788680,1842913,1784890,1594338,1528077,1474493,1262419,1073527,752563,442888,206835,154899,132157
AMÉRICA CENTRAL Y CARIBE,206967,201623,211571,223926,218224,207375,201374,193842,172230,139945,126966,119985,101638,94979,79004,62769,48047,37576,32087
Costa Rica,2040,1874,1926,2042,2026,1924,1925,1887,1678,1320,1267,1232,981,946,671,517,411,353,355
Cuba,46230,46397,50406,54707,54958,54680,54954,54621,50759,45698,44739,45009,39674,38332,31832,24534,17814,12919,10354
Dominica,555,558,617,691,691,691,745,751,667,604,731,795,715,743,755,690,586,518,574
El Salvador,8237,7277,7058,7248,6995,6409,6025,5701,5021,3795,3285,3015,2522,2291,1769,1313,1024,903,904
Guatemala,3498,3485,3772,4150,4368,4207,4068,3882,3266,2417,2081,1895,1551,1443,1057,795,574,450,452
Honduras,49341,43283,40608,39599,36016,30897,27363,25307,22026,14253,9108,7017,5128,4091,2856,1974,1293,980,885
Nicaragua,22528,20941,19807,19610,17455,14516,12190,10815,8404,4547,2648,1953,1482,1337,1076,863,700,578,552
Panamá,1932,1860,1986,2188,2213,2305,2331,2264,2137,1794,1597,1467,1214,1098,798,627,522,468,498
República Dominicana,71971,75315,84689,92981,92846,91148,91212,88103,77822,65119,61071,57134,47973,44290,37830,31153,24847,20168,16688
Resto de América Central y Caribe,635,633,702,710,656,598,561,511,450,398,439,468,398,408,360,303,276,239,825
AMÉRICA DEL NORTE,57661,55378,56177,57720,56642,54903,54099,52677,49620,45608,51149,51619,42726,41398,32350,26764,22884,20543,18358
Canadá,3772,3538,3337,3342,3219,3021,2879,2785,2692,2419,2775,2866,2429,2565,2157,1834,1654,1483,1385
Estados Unidos de América,31557,30183,29371,28743,27856,26611,25771,24934,23903,22082,24517,25831,22184,23398,19946,17457,15720,14404,12901
México,22332,21657,23469,25635,25567,25271,25449,24958,23025,21107,23857,22922,18113,15435,10247,7473,5510,4656,4072
